rssi,snr,ax,ay,az,wx,wy,wz,mx,my,mz,temperature,p,time,timeOfWeek,timeOFWeekFracPart,gpsFix,ecefx,ecefy,ecefz,positionAcc3D,ecefvx,ecefvy,ecefvz,speedAcc,numbSat,drogueStatus
-82,27,-976.699,-86.2745,-227.451,-0.0175769,0.0569916,-0.0218379,4535.18,-3406.5,-1794.64,27.2625,94096,272,592582200,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,26,-980.583,-70.5882,-223.529,-0.00798948,0.0655138,-0.0197074,4684.67,-3290.48,-1698.31,27.2687,94118,276,592582600,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,25,-972.816,-70.5882,-219.608,-0.0218379,0.0687096,-0.00585895,4684.67,-3329.15,-1746.47,27.2437,94090,276,592582800,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,28,-984.466,-74.5098,-215.686,-0.00266316,0.0708401,-0.0111853,4535.18,-3445.17,-1890.97,27.2625,94109,277,592583200,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,27,-972.816,-70.5882,-223.529,-0.00798948,0.0655138,-0.0165116,4722.04,-3329.15,-1698.31,27.2563,94102,276,592583400,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,27,-972.816,-78.4314,-235.294,-0.0154463,0.0676443,-0.0133158,4684.67,-3329.15,-1698.31,27.275,94096,277,592583800,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,28,-980.583,-70.5882,-219.608,-0.000532632,0.0708401,-0.0229032,-4770.51,-3406.5,-1794.64,27.275,94096,276,592584000,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,27,-976.699,-101.961,-203.922,0.00372843,0.0751011,-0.026099,4759.42,-3367.82,-1698.31,27.275,94108,276,592584200,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,27,-980.583,-78.4314,-219.608,-0.00905475,0.0751011,-0.0175769,-4770.51,-3290.48,-1746.47,27.275,94081,277,592584600,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-82,27,-992.233,-47.0588,-219.608,-0.0111853,0.0644485,-0.0186421,-4733.14,-3406.5,-1794.64,27.2938,94099,276,592584800,-2,0,637813700,0,0,649519040,0,0,0,2000,0,1
-83,27,-976.699,-74.5098,-223.529,-0.00798948,0.0719054,-0.01012,-4770.51,-3290.48,-1698.31,27.275,94105,277,592585200,-3,0,637813700,0,0,649519040,0,0,0,2000,0,1
-83,27,-972.816,-82.3529,-203.922,-0.00798948,0.0793622,-0.00905475,-4695.77,-3406.5,-1746.47,27.2875,94105,276,592585400,-3,0,637813700,0,0,649519040,0,0,0,2000,0,1
-83,27,-965.049,-74.5098,-239.216,-0.0175769,0.0708401,-0.0229032,4759.42,-3329.15,-1746.47,27.275,94090,276,592585600,-3,0,637813700,0,0,649519040,0,0,0,2000,0,1
